date,max_temp,min_temp
2026-04-25,34.5,25.8
2026-04-26,35.4,26.4
2026-04-27,35.0,27.4
2026-04-28,35.5,25.9
2026-04-29,35.6,26.5
2026-04-30,35.4,26.7
2026-05-01,33.2,26.2
2026-05-02,33.2,26.6
